name,osm_id,mid_lat,mid_lng,node_count,data_source,highway_type,surface,lanes,maxspeed,oneway,bridge,tunnel,lit,sidewalk,cycleway,width,access,ref
,121051554,40.445109900000006,-79.9520664,2,osm,steps,concrete,,,,,,yes,,,,,
,121051555,40.4454276,-79.95194685,2,osm,footway,concrete,,,,,,yes,,,,,
,121054679,40.4450393,-79.9493399,3,osm,service,,,,,,,,,,,,
,121056724,40.44457168,-79.95284211999999,5,osm,footway,concrete,,,,,,yes,,,,,
,121056726,40.4445484,-79.95284565,2,osm,footway,concrete,,,,,,yes,,,,,
,121059641,40.44397477142858,-79.9529944,7,osm,footway,concrete,,,,,,yes,,,,,
,132216462,40.4438755,-79.9485847,2,osm,service,asphalt,,,,,,,,,,,
,132216463,40.443591971428575,-79.94807087142858,7,osm,service,asphalt,,,,,,,,,,,
,132216464,40.443145466666664,-79.94917714444445,9,osm,service,asphalt,,,,,,,,,,,
,132216465,40.44366905,-79.9476878,2,osm,service,,,,,,,,,,,,
,154256411,40.44408645,-79.95263560000001,2,osm,footway,concrete,,,,,,yes,,,,,
,154258953,40.44578865,-79.9519789,2,osm,footway,concrete,,,,,,yes,,,,,
,154369017,40.4450582,-79.95138285,2,osm,footway,dirt,,,,,,yes,,,,,
,154401161,40.443630925,-79.9521998,4,osm,footway,concrete,,,,,,yes,,,,,
,154410179,40.443751866666666,-79.95244323333334,3,osm,service,paving_stones,,,,,,,,,,,
,158134965,40.44551608333333,-79.94256626666667,6,osm,service,bricks,,,yes,,,,,,,,
,158243368,40.44392502857143,-79.94521615714287,14,osm,footway,paved,,,,,,,,,,,
,158243370,40.4438649,-79.94517115,2,osm,footway,paved,,,,,,,,,,,
,158244749,40.44366148,-79.94516058,5,osm,footway,paved,,,,,,,,,,,
,158244750,40.44365025,-79.9455333,2,osm,footway,paved,,,,,,,,,,,
,158244752,40.4438027,-79.94595533333334,3,osm,footway,paved,,,,,,,,,,,
,158244756,40.443820566666666,-79.94565463333333,3,osm,footway,paved,,,,,,,,,,,
,158263386,40.4447543,-79.94312815,2,osm,footway,concrete,,,,,,,,,,,
,158266461,40.44396635,-79.94137385,2,osm,service,asphalt,,,,,,,,,,destination,
,158266464,40.44399535,-79.9412228,4,osm,service,asphalt,,,,,,,,,,destination,
,158266680,40.4438504,-79.93901053333333,3,osm,service,,,,,,,,,,,,
,158373380,40.44301622,-79.944254104,25,osm,footway,paved,,,,,,,,,,,
,158373381,40.44293024285714,-79.94402628571427,7,osm,footway,paved,,,,,,,,,,,
